#{"t_start": 1742565129.8357852, "env_id": "None"}
r,l,t
211.5,17,65.17823
178.166667,9,65.216297
235.333333,12,65.267308
222.833333,18,65.965939
209.5,10,66.004948
222.5,25,66.103971
199.0,8,66.137979
267.833333,16,66.206362
190.5,8,66.24037
197.5,13,66.289381
279.833333,18,66.366406
243.666667,10,66.405414
282.666667,15,67.1828
189.333333,7,67.212807
158.0,7,67.239813
255.166667,13,67.294825
308.5,14,67.356068
136.5,7,67.387074
380.0,31,67.5061
230.833333,15,67.573266
355.333333,28,67.694459
213.166667,15,68.584177
307.666667,20,68.674196
213.333333,10,68.717207
215.0,10,68.757215
301.666667,20,68.839234
137.666667,8,68.877244
190.833333,12,68.933993
317.5,25,69.047018
170.5,4,69.065022
483.833333,36,69.974024
235.0,20,70.064757
256.833333,19,70.142059
304.666667,15,70.204496
303.333333,20,70.284489
170.0,5,70.305793
394.5,25,71.156788
211.333333,10,71.195798
260.0,15,71.255343
242.333333,11,71.301352
233.0,12,71.351364
210.166667,9,71.388373
358.166667,27,71.494395
182.166667,9,71.530405
185.0,10,71.572413
344.5,25,72.355238
452.666667,23,72.449259
190.5,17,72.514275
217.333333,9,72.551282
208.833333,12,72.602311
296.333333,22,72.692332
215.333333,15,72.751345
144.0,6,72.779351
190.333333,8,72.812535
162.0,12,73.484149
367.0,17,73.557207
270.5,12,73.605398
172.666667,9,73.643409
187.333333,10,73.682415
239.833333,13,73.753502
269.833333,18,73.83252
271.5,29,73.965334
322.833333,22,74.797586
421.0,24,74.899705
357.0,22,74.986587
224.333333,14,75.046602
195.833333,5,75.076607
314.666667,25,75.200501
227.0,14,75.257961
218.333333,12,75.310974
195.5,9,76.030369
236.666667,12,76.081381
222.5,9,76.117388
201.333333,14,76.182402
269.5,22,76.295686
237.166667,17,76.361701
296.333333,14,76.420714
260.333333,19,76.500732
186.0,14,76.562745
385.833333,23,77.252901
265.0,15,77.312915
187.5,8,77.347924
259.666667,23,77.440943
221.333333,13,77.495955
306.666667,23,77.589976
330.5,36,78.442153
332.333333,30,78.570183
210.166667,12,78.626196
193.333333,7,78.660203
205.0,10,78.700211
227.166667,17,78.777229
203.833333,9,78.828309
213.166667,14,78.887322
469.833333,38,79.877304
