#{"t_start": 1742794612.7253919, "env_id": "None"}
r,l,t
674.307692,13,43.605834
647.166667,12,43.676355
585.4,12,43.739089
681.0,10,43.793135
671.5,8,43.839061
690.166667,12,43.903727
753.377778,9,43.952858
617.066667,10,44.011969
682.444444,9,44.059601
750.972727,11,44.116731
617.833333,12,44.182348
729.333333,12,44.252372
768.666667,6,44.284426
732.377778,9,44.337285
647.007692,13,44.416401
702.706061,11,44.493414
688.307692,13,44.562391
652.777778,9,44.613752
733.733333,12,44.67706
622.444444,9,44.726936
570.0,12,44.797707
634.333333,12,44.86226
697.111111,9,44.912252
595.571429,14,44.992077
693.333333,12,45.054298
559.444444,9,45.106487
615.606061,11,45.165737
729.944444,9,45.217743
561.666667,12,45.2861
612.933333,12,45.359949
633.777778,9,45.41048
656.566667,12,45.486569
516.307692,13,45.553061
742.666667,8,45.600337
673.8,12,45.665907
742.372727,11,45.730518
694.107692,13,45.803034
703.641026,13,45.896461
700.833333,10,45.952997
561.641026,13,46.027207
722.941026,13,46.108083
675.307692,13,46.192629
687.504762,14,46.281608
778.2,12,46.359037
781.207692,13,46.428481
716.2,12,46.49709
674.5,15,46.579679
705.611111,9,46.62835
659.777778,9,46.676059
706.444444,9,46.725285
564.139394,11,46.787226
749.672727,11,46.84998
729.806061,11,46.912216
752.911111,9,46.963748
637.666667,12,47.030699
612.0,12,47.094827
721.444444,9,47.144799
618.2,10,47.198773
697.111111,9,47.246868
666.106061,11,47.305557
687.106061,11,47.364746
674.466667,12,47.436775
733.111111,9,47.486927
671.111111,9,47.544036
754.939394,11,47.615552
691.571429,14,47.685814
753.671429,14,47.764352
686.641026,13,47.836664
710.633333,10,47.922689
624.333333,12,48.022181
617.866667,10,48.080085
653.606061,11,48.146249
767.880952,21,48.27693
722.904762,14,48.350392
645.8,12,48.423092
688.666667,12,48.488558
706.044444,9,48.539437
655.606061,11,48.598583
732.472727,11,48.662098
602.111111,9,48.71052
623.272727,11,48.769786
615.777778,9,48.824547
703.777778,9,48.880867
697.111111,9,48.936259
736.5,15,49.031085
796.833333,15,49.143646
667.058824,17,49.244807
724.566667,12,49.318683
656.777778,9,49.370461
746.071429,14,49.459894
648.272727,11,49.51577
663.777778,9,49.565149
663.444444,9,49.615116
656.133333,12,49.678481
780.644444,9,49.729349
670.106061,11,49.787978
695.6,12,49.856496
703.066667,12,49.91927
692.666667,12,49.986034
541.641026,13,50.053833
731.809524,7,50.094834
654.558824,17,50.184742
637.666667,12,50.246757
