#{"t_start": 1742888363.1492255, "env_id": "None"}
r,l,t
789.402808,13,93.239629
607.382358,18,93.379356
661.63818,14,93.542148
816.911866,10,93.633201
867.034159,10,93.738241
939.73069,20,93.920376
614.689655,11,94.006902
812.434733,13,94.130781
627.130303,9,94.205679
961.94215,16,94.367834
1106.864163,20,94.552559
939.640549,28,94.800616
705.799722,11,94.893828
851.783217,5,94.938061
768.47726,15,95.062846
1128.983306,14,95.216093
621.724357,9,95.292572
888.370022,8,95.367101
727.048815,29,95.597202
850.524018,15,95.721863
928.568812,13,95.854234
734.247418,12,95.957693
828.823277,11,96.061724
897.296951,12,96.175408
1065.871356,18,96.33321
888.647056,8,96.407994
793.559617,13,96.52527
654.711574,14,96.641199
848.782733,13,96.756791
770.135993,10,96.851195
773.901325,5,96.891172
1000.914031,17,97.043045
859.205235,17,97.192531
916.364604,7,97.262365
763.418331,8,97.335882
869.933474,31,97.611524
676.296125,13,97.71809
1306.324977,27,97.971086
613.661418,13,98.080797
729.959955,18,98.231682
940.847445,14,98.36825
931.190559,15,98.517557
782.163284,8,98.587398
853.865103,12,98.700807
964.634585,15,98.835765
703.929166,11,98.941011
710.035953,10,99.029029
864.835536,18,99.198916
1088.8849,13,101.630771
573.737455,10,101.71279
1066.476382,30,101.979949
640.328272,13,102.086972
878.507042,13,102.194809
863.023613,11,102.296831
682.436211,21,102.469078
757.362101,13,102.588106
800.18218,15,102.730918
913.731144,18,102.892159
774.514045,5,102.935022
841.724399,13,103.052306
650.7175,8,103.116321
859.368447,5,103.16233
929.410276,14,103.28926
769.495013,11,103.386144
704.55571,12,103.488714
836.429582,7,103.554264
607.790242,16,103.678942
1626.719508,24,103.909292
846.476356,12,104.030554
629.076558,8,104.100816
672.397335,11,104.199838
942.37709,18,104.36624
840.714892,11,104.467261
913.009584,17,104.605172
801.725103,16,104.736746
1089.028092,29,104.979896
886.768601,13,105.096226
925.332221,16,105.243437
660.054384,8,105.30545
754.616882,15,105.439769
842.732124,13,105.550261
951.056659,10,105.649084
845.709293,15,105.794626
1056.662182,22,105.990909
785.816324,24,106.203028
591.635609,14,106.314423
711.896283,7,106.372046
653.525156,11,106.462209
745.786946,10,106.551838
865.733225,8,106.627465
824.146993,13,106.746683
666.632427,14,106.908261
714.813345,11,107.01899
844.050609,9,107.102052
1148.38312,19,107.306779
794.734784,23,107.505221
1050.014507,13,107.633087
913.901271,9,107.714735
808.253041,11,107.814638
1160.228579,27,108.062278
975.582535,10,108.152415
865.684519,4,108.190106
664.052414,7,108.248119
739.837712,7,108.306828
1062.020781,16,108.459687
671.748363,12,108.564907
646.166179,7,108.63036
902.251344,21,108.828978
532.75355,11,108.913576
1221.937432,24,109.134213
932.335693,21,109.316399
806.699373,6,109.372552
894.333256,16,109.515036
1031.705283,13,109.653307
682.167087,13,109.761497
713.904822,7,109.825933
735.93471,16,109.966296
831.162213,7,110.026041
938.82273,27,110.276259
825.818057,13,110.38927
622.863061,12,110.493377
721.443919,8,110.563565
767.142956,6,110.61821
719.346806,10,110.704977
821.147424,17,110.856356
1039.060839,19,111.019653
888.607302,18,111.181574
653.347656,9,111.25338
737.74644,8,111.324831
843.300551,14,111.449149
753.582578,15,111.572834
816.931816,7,111.633325
947.081759,19,111.821308
799.009559,16,111.961531
827.561085,15,112.087806
779.013102,20,112.254132
594.006943,14,112.370715
899.398347,4,112.405643
823.315559,16,112.5517
1097.134968,15,112.696906
1175.068058,26,112.939694
952.477666,13,113.07352
1178.233579,25,113.301137
1100.598038,12,113.426649
678.753746,18,113.577318
910.783133,22,113.775339
1168.956321,20,113.969077
746.398381,23,114.163166
914.481562,11,114.274079
821.829011,10,114.376978
802.864084,13,114.489241
922.380728,16,114.629615
772.523442,13,114.7551
1052.544532,16,114.926649
696.574077,9,115.005059
797.34038,6,115.054105
672.535563,7,115.112895
778.197982,18,115.263078
869.144285,12,115.374077
906.647192,18,115.526081
1514.675232,43,115.902694
653.780682,8,115.977851
683.303251,9,116.052143
783.365183,8,116.125419
621.288264,7,116.180761
659.927211,8,116.240407
873.438998,9,116.325314
551.864739,13,116.433386
812.32116,11,116.54408
762.406696,16,116.678438
851.684097,11,116.780237
788.311068,11,116.891144
951.703042,24,117.105438
690.652264,18,117.250046
1038.420687,17,117.401361
960.609719,18,117.566221
727.617659,13,117.681192
861.431539,13,117.797761
824.531653,15,117.944448
1298.221782,26,118.191072
733.933507,13,118.311593
785.162819,26,118.52836
823.038336,10,118.629856
749.624174,13,118.742108
961.480718,24,118.940755
749.482719,10,119.030109
823.370412,13,119.172767
809.995363,18,119.375397
1214.308021,14,119.530251
995.312426,21,119.744883
791.897283,12,119.864539
838.726102,11,119.964086
805.606711,14,120.08534
